genero,jornada,zona,estado_civil,ocupacion,nivel_de_formacion,medio_de_transporte,municipio_direccion,tipo_programa,programa,eps,edad,estrato,semestre_periodo,estrato_imputado,transporte_imputado,edad_imputada,anio_matricula,estado,desercion
Masculino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Extension,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,Sin registro,66,2,2,1,1,0,2020.0,Activo,0
Femenino,MEDIA TÉCNICA,Rural,Soltero(a),Sin registro,Sin registro,Transporte público,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,EPS Sura,16,4,2,0,1,0,2020.0,Inactivo,0
Femenino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Medellín,Extension,EXTENSION HERRAMIENTAS TICS,Sin registro,25,4,2,1,1,0,2020.0,Activo,0
Masculino,DIURNA,Urbana,Casado(a),Empleado,Media,Moto,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Susalud,43,3,2,0,0,0,2016.0,Graduado,0
Masculino,NOCHE,Urbana,Soltero(a),Empleado,Media,Transporte público,Medellín,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Sin registro,27,3,2,0,1,0,2016.0,Inactivo,1
Masculino,DIURNA,Urbana,Soltero(a),Empleado,Media,Transporte público,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),Sin registro,26,1,2,0,1,0,2016.0,Cancelado,1
Femenino,NOCHE,Urbana - rural,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),EPS Sura,26,2,1,0,0,0,2017.0,Graduado,0
Femenino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Sin registro,Transporte público,Medellín,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,EPS Sura,16,2,2,0,0,0,2020.0,Inactivo,0
Masculino,NOCHE,Urbana,Soltero(a),Independiente,Media,A pie,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Sin registro,25,3,2,0,0,0,2019.0,Sancionado,1
Masculino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Básica secundaria,A pie,Medellín,Media Tecnica,PROYECTOS FORMATIVOS MEDIA TECNICA,EPS Sura,19,3,2,0,0,0,2019.0,Inactivo,1
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Nueva Promotora de Salud - Nueva EPS,26,3,2,0,1,0,2015.0,Inactivo,1
Femenino,NOCHE,Urbana,Casado(a),Sin registro,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),EPS Sura,47,3,2,0,1,0,2016.0,Graduado,0
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Bicicleta,Medellín,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Coomeva EPS,28,3,1,0,0,0,2016.0,Graduado,0
Femenino,NOCHE,Urbana,Soltero(a),Empleado,Media,Transporte público,Envigado,Tecnico Laboral,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,Cafesalud  EPS,30,2,2,0,0,0,2018.0,Sancionado,1
Masculino,NOCHE,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Tecnico Laboral,FORMACIÓN EN CONOCIMIENTOS ACADÉMICOS PARA LA ACTUALIZACIÓN DEL DESEMPEÑO DOCENTE CEFIT,Sin registro,45,2,1,1,1,0,2021.0,Activo,0
Masculino,NOCHE,Urbana,Soltero(a),Empleado,Media,Moto,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),EPS Sura,30,3,2,0,0,0,2015.0,Graduado,0
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,A pie,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Savia Salud,27,2,1,0,0,0,2020.0,Cancelado,1
Masculino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,A pie,Envigado,Tecnico Laboral,31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos),MEDIMAS,21,2,1,0,0,0,2019.0,Graduado,0
Femenino,NOCHE,Urbana,Unión libre,Empleado,Media,Automóvil,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),Nueva Promotora de Salud - Nueva EPS,29,2,1,0,0,0,2014.0,Graduado,0
Masculino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Básica secundaria,Transporte público,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,EPS Sura,17,2,2,0,0,0,2020.0,Inactivo,0
Femenino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,A pie,Envigado,Tecnico Laboral,04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos),Nueva Promotora de Salud - Nueva EPS,29,2,1,0,0,0,2016.0,Inactivo,1
Masculino,DIURNA,Urbana,Soltero(a),Estudiante básica,Básica secundaria,Moto,Envigado,Tecnico Laboral,12T-TÉCNICO LABORAL EN AUXILIAR DE RECURSO HUMANO,SISBEN,19,2,2,0,0,0,2021.0,Activo,0
Femenino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Extension,EXTENSIÓN - BIOSEGURIDAD,Sin registro,60,3,2,1,1,0,2020.0,Activo,0
Masculino,NOCHE,Urbana,Casado(a),Empleado,Media,Moto,Envigado,Tecnico Laboral,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,Salud Total EPS,30,2,1,0,0,0,2018.0,Sancionado,1
Masculino,DIURNA,Urbana,Soltero(a),Estudiante básica,Básica secundaria,A pie,Envigado,Tecnico Laboral,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),Coomeva EPS,23,3,2,0,0,0,2017.0,Sancionado,1
Masculino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),EPS Sura,21,3,1,0,0,0,2018.0,Graduado,0
Masculino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,EPS Sura,27,2,1,0,0,0,2020.0,Inactivo,1
Femenino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Sin registro,A pie,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,EPS Sura,15,3,2,0,0,0,2021.0,Inactivo,0
Masculino,NOCHE,Urbana,Unión libre,Empleado,Básica secundaria,A pie,Medellín,Tecnico Laboral,27T-TÉCNICO LABORAL EN MERCADEO Y VENTAS (Estudiantes Antiguos),E.P.S. Programa Comfenalco Antioquia,22,3,2,0,0,0,2017.0,Inactivo,1
Masculino,DIURNA,Urbana - rural,Soltero(a),Empleado,Media,Automóvil,Itagui,Tecnico Laboral,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),Sin registro,28,3,2,0,0,0,2015.0,Inactivo,1
Masculino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Sin registro,A pie,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,Savia Salud,17,2,2,0,0,0,2021.0,Activo,0
Masculino,NOCHE,Urbana,Soltero(a),Estudiante superior,Básica secundaria,A pie,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Médico Preventiva,18,3,2,0,0,0,2021.0,Activo,0
Masculino,NOCHE,Urbana,Soltero(a),Desempleado,Media,A pie,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Savia Salud,35,1,1,0,0,0,2021.0,Activo,0
Femenino,NOCHE,Urbana,Soltero(a),Desempleado,Media,Transporte público,Envigado,Tecnico Laboral,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,EPS Sura,22,2,2,0,0,0,2021.0,Cancelado,1
Masculino,DIURNA,Urbana,Unión libre,Empleado,Pregrado,Automóvil,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),EPS Sura,33,3,2,0,0,0,2015.0,Graduado,0
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Moto,Envigado,Tecnico Laboral,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),Salud Total EPS,26,3,2,0,0,0,2017.0,Inactivo,1
Masculino,DIURNA,Urbana,Soltero(a),Sin registro,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),Sin registro,31,2,1,0,1,0,2016.0,Sancionado,1
Masculino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante superior,Básica secundaria,A pie,Envigado,Media Tecnica,PROYECTOS FORMATIVOS MEDIA TECNICA,EPS Sura,21,3,2,0,0,0,2019.0,Inactivo,1
Femenino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Sin registro,Transporte público,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,Sin registro,16,2,2,0,0,0,2021.0,Inactivo,0
Masculino,DIURNA,Urbana,Soltero(a),Independiente,Media,Bicicleta,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Sin registro,44,3,1,0,0,0,2018.0,Inactivo,1
Masculino,DIURNA,Urbana,Soltero(a),Empleado,Media,Transporte público,Envigado,Tecnico Laboral,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,EPS Sura,34,2,2,0,1,0,2015.0,Graduado,0
Masculino,DIURNA,Urbana,Soltero(a),Empleado,Media,Transporte público,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,EPS Sura,27,3,1,0,1,0,2015.0,Inactivo,1
Femenino,DIURNA,Urbana,Soltero(a),Sin registro,Sin registro,Transporte público,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,EPS Sura,26,3,1,0,1,1,2015.0,Graduado,0
Masculino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Extension,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,Sin registro,35,2,2,1,1,0,2020.0,Activo,0
Masculino,NOCHE,Urbana,Soltero(a),Empleado,Básica secundaria,Transporte público,Itagui,Tecnico Laboral,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),EPS Sura,32,2,2,0,0,0,2017.0,Aplazamiento Semestre,1
Masculino,NOCHE,Urbana,Soltero(a),Desempleado,Media,Bicicleta,Envigado,Tecnico Laboral,15T-TÉCNICO LABORAL EN ELECTRICIDAD (Estudiantes Antiguos),Cafesalud  EPS,28,4,2,0,0,0,2017.0,Inactivo,1
Femenino,MEDIA TÉCNICA,Rural,Soltero(a),Estudiante básica,Sin registro,Transporte público,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,Savia Salud,15,2,2,0,0,0,2021.0,Activo,0
Femenino,NOCHE,Rural,Unión libre,Empleado,Básica secundaria,A pie,Envigado,Tecnico Laboral,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,EPS Sura,49,2,2,0,0,0,2021.0,Sancionado,1
Femenino,NOCHE,Urbana,Soltero(a),Empleado,Pregrado,Transporte público,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),SISBEN,32,2,2,0,1,0,2015.0,Graduado,0
Masculino,DIURNA,Urbana,Soltero(a),Empleado,Media,Transporte público,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Sin registro,25,2,2,0,0,0,2014.0,Inactivo,1
Masculino,NOCHE,Urbana,Soltero(a),Empleado,Media,Moto,Medellín,Tecnico Laboral,15T-TÉCNICO LABORAL EN ELECTRICIDAD (Estudiantes Antiguos),EPS Sura,30,2,1,0,0,0,2017.0,Graduado,0
Masculino,NOCHE,Urbana,Soltero(a),Sin registro,Sin registro,Transporte público,Envigado,Tecnico Laboral,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),Sin registro,33,3,2,0,1,0,2014.0,Inactivo,1
Femenino,DIURNA,Rural,Casado(a),Empleado,Media,Transporte público,Envigado,Tecnico Laboral,12T-TÉCNICO LABORAL EN AUXILIAR DE RECURSO HUMANO,EPS Sura,31,2,1,0,0,0,2022.0,Activo,0
Femenino,DIURNA,Urbana,Soltero(a),Independiente,Media,Transporte público,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),EPS Sura,28,3,2,0,0,0,2019.0,Graduado,0
Femenino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),EPS Sura,35,2,2,0,0,0,2020.0,Graduado,0
Masculino,NOCHE,Urbana,Casado(a),Empleado,Básica secundaria,Moto,Bello,Tecnico Laboral,TÉCNICO LABORAL EN ELECTRÓNICA Y ELECTRICIDAD AUTOMOTRIZ,Salud Total EPS,33,3,1,0,0,0,2017.0,Inactivo,1
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,A pie,Envigado,Tecnico Laboral,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),EPS Sura,22,3,1,0,0,0,2018.0,Graduado,0
Femenino,DIURNA,Urbana,Viudo(a),Desempleado,Media,Transporte público,Envigado,Tecnico Laboral,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,Sin registro,68,3,2,0,1,0,2015.0,Inactivo,1
Femenino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,13T-TÉCNICO LABORAL EN AUXILIAR EN SEGURIDAD OCUPACIONAL,EPS Sura,29,2,2,0,0,0,2020.0,Cancelado,1
Femenino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Media,A pie,Medellín,Media Tecnica,MEDIA TÉCNICA TECNICO LABORAL AUXILIAR ADMINISTRATIVO CON ENFASIS EN SISTEMAS,EPS Sura,19,2,1,0,0,0,2018.0,Graduado,0
Masculino,MEDIA TÉCNICA,Urbana - rural,Soltero(a),Estudiante superior,Sin registro,A pie,Medellín,Media Tecnica,MEDIA TECNICA TECNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Savia Salud,16,6,1,0,0,0,2021.0,Inactivo,0
Masculino,NOCHE,Urbana,Soltero(a),Empleado,Media,Transporte público,Envigado,Tecnico Laboral,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),Coomeva EPS,29,3,2,0,1,0,2015.0,Graduado,0
Femenino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Sin registro,Moto,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,EPS Sura,15,3,2,0,0,0,2021.0,Inactivo,0
Femenino,DIURNA,Urbana,Soltero(a),Estudiante básica,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,27T-TÉCNICO LABORAL EN MERCADEO Y VENTAS (Estudiantes Antiguos),Sin registro,24,2,1,0,1,0,2016.0,Graduado,0
Masculino,NOCHE,Urbana,Unión libre,Empleado,Media,Moto,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Cafesalud  EPS,41,2,1,0,0,0,2016.0,Graduado,0
Masculino,NOCHE,Urbana,Casado(a),Empleado,Sin registro,Transporte público,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,EPS Sura,42,2,2,0,0,0,2021.0,Sancionado,1
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),SISBEN,25,3,1,0,0,0,2016.0,Inactivo,1
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),Sin registro,43,3,1,0,0,0,2016.0,Aplazamiento Semestre,1
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos),SISBEN,38,2,2,0,1,0,2016.0,Inactivo,1
Masculino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Medellín,Extension,EXTENSIÓN - BIOSEGURIDAD,Sin registro,30,2,2,1,1,0,2020.0,Activo,0
Masculino,DIURNA,Urbana,Separado(a),Empleado,Media,Transporte público,Envigado,Tecnico Laboral,04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos),EPS Sura,47,3,2,0,0,0,2017.0,Graduado,0
Masculino,DIURNA,Urbana,Unión libre,Independiente,Media,Automóvil,Envigado,Extension,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,Suramericana,31,3,2,0,0,0,2020.0,Activo,0
Masculino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,A pie,Medellín,Tecnico Laboral,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,EPS Sura,21,1,1,0,0,0,2019.0,Graduado,0
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Bicicleta,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Nueva Promotora de Salud - Nueva EPS,25,3,2,0,0,0,2019.0,Aplazamiento Semestre,1
Femenino,NOCHE,Rural,Soltero(a),Desempleado,Media,Transporte público,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,EPS Sura,35,3,2,0,0,0,2018.0,Graduado,0
Femenino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Extension,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,Sin registro,45,4,2,1,1,0,2020.0,Activo,0
Femenino,NOCHE,Urbana,Casado(a),Empleado,Pregrado,A pie,Envigado,Tecnico Laboral,28T-TÉCNICO LABORAL EN PANADERIA (Estudiantes Antiguos),EPS Sura,55,4,1,0,0,0,2018.0,Inactivo,1
Masculino,NOCHE,Urbana,Soltero(a),Desempleado,Media,Transporte público,Envigado,Tecnico Laboral,28T-TÉCNICO LABORAL EN PANADERIA (Estudiantes Antiguos),Saludcoop EPS  Organismo Cooperativo,23,3,1,0,0,0,2018.0,Inactivo,1
Femenino,MEDIA TÉCNICA,Urbana,Sin registro,Sin registro,Sin registro,Transporte público,Medellín,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,EPS Sura,16,2,2,0,1,0,2020.0,Inactivo,0
Femenino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Extension,EXTENSIÓN - BIOSEGURIDAD,Sin registro,31,3,2,1,1,0,2021.0,Activo,0
Femenino,NOCHE,Urbana,Soltero(a),Empleado,Media,A pie,Envigado,Tecnico Laboral,28T-TÉCNICO LABORAL EN PANADERIA (Estudiantes Antiguos),EPS Sura,28,2,1,0,0,0,2017.0,Cancelado,1
Masculino,DIURNA,Urbana,Soltero(a),Sin registro,Sin registro,Transporte público,Envigado,Tecnico Laboral,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,Sin registro,27,2,2,0,1,0,2014.0,Inactivo,1
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Nueva Promotora de Salud - Nueva EPS,23,3,2,0,1,0,2016.0,Cancelado,1
