genero,jornada,zona,estado_civil,ocupacion,nivel_de_formacion,medio_de_transporte,municipio_direccion,tipo_programa,programa,eps,edad,estrato,semestre_periodo,estrato_imputado,transporte_imputado,edad_imputada,anio_matricula,estado,desercion
Femenino,NOCHE,Urbana,Casado(a),Empleado,Media,Transporte público,Envigado,Tecnico Laboral,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),EPS Sura,38,2,1,0,0,0,2016.0,Graduado,0
Masculino,DIURNA,Urbana,Casado(a),Independiente,Media,Transporte público,Envigado,Tecnico Laboral,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,EPS Sura,50,3,2,0,0,0,2017.0,Graduado,0
Masculino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,EPS Sura,25,3,2,0,0,0,2019.0,Inactivo,1
Femenino,DIURNA,Urbana,Separado(a),Empleado,Básica secundaria,A pie,Envigado,Tecnico Laboral,01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO,EPS Sura,36,3,1,0,0,0,2016.0,Inactivo,1
Femenino,NOCHE,Urbana,Soltero(a),Desempleado,Media,Transporte público,Envigado,Tecnico Laboral,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),Sin registro,44,2,1,0,1,0,2015.0,Inactivo,1
Masculino,NOCHE,Urbana,Casado(a),Empleado,Media,Taxi,Envigado,Tecnico Laboral,28T-TÉCNICO LABORAL EN PANADERIA (Estudiantes Antiguos),EPS Sura,41,3,1,0,0,0,2016.0,Graduado,0
Masculino,NOCHE,Urbana,Soltero(a),Independiente,Media,A pie,Envigado,Tecnico Laboral,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,EPS Sura,29,3,1,0,0,0,2022.0,Activo,0
Femenino,NOCHE,Urbana,Unión libre,Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO,Savia Salud,26,3,1,0,0,0,2018.0,Graduado,0
Masculino,NOCHE,Urbana,Unión libre,Sin registro,Sin registro,Transporte público,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Sin registro,41,2,2,0,1,0,2014.0,Inactivo,1
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Medellín,Tecnico Laboral,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),SISBEN,26,2,1,0,1,0,2015.0,Inactivo,1
Masculino,NOCHE,Urbana,Soltero(a),Empleado,Media,A pie,Envigado,Tecnico Laboral,04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos),EPS Sura,39,3,1,0,0,0,2020.0,Cancelado,1
Femenino,NOCHE,Urbana,Soltero(a),Empleado,Básica secundaria,Moto,Envigado,Tecnico Laboral,27T-TÉCNICO LABORAL EN MERCADEO Y VENTAS (Estudiantes Antiguos),Sin registro,25,2,2,0,0,0,2017.0,Activo,0
Masculino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Media,Transporte público,Envigado,Media Tecnica,MEDIA TÉCNICA MECÁNICA MOTOS,Coomeva EPS,23,3,1,0,1,0,2018.0,Inactivo,1
Masculino,DIURNA,Urbana,Soltero(a),Sin registro,Media,Transporte público,Medellín,Tecnico Laboral,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,Sin registro,30,3,2,0,1,0,2015.0,Inactivo,1
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,Sin registro,29,3,1,0,1,0,2015.0,Inactivo,1
Masculino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,A pie,Envigado,Tecnico Laboral,31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos),EPS Sura,23,2,1,0,0,0,2016.0,Graduado,0
Femenino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Sin registro,Transporte público,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,EPS Sura,16,2,2,0,0,0,2020.0,Inactivo,0
Masculino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Sin registro,A pie,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,EPS Sura,16,3,2,0,0,0,2021.0,Activo,0
Femenino,NOCHE,Urbana,Separado(a),Empleado,Media,Transporte público,Envigado,Tecnico Laboral,01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO,Sanitas EPS,58,2,1,0,0,0,2015.0,Graduado,0
Femenino,NOCHE,Urbana,Soltero(a),Empleado,Media,Transporte público,Envigado,Tecnico Laboral,04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos),EPS Sura,45,2,1,0,0,0,2016.0,Graduado,0
Femenino,NOCHE,Urbana,Unión libre,Empleado,Media,A pie,Envigado,Tecnico Laboral,14T-TÉCNICO LABORAL EN CONTABILIDAD,EPS Sura,34,2,1,0,0,0,2021.0,Activo,0
Masculino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Extension,EXTENSIÓN - BIOSEGURIDAD,Sin registro,24,3,2,1,1,0,2021.0,Activo,0
Femenino,DIURNA,Urbana,Separado(a),Estudiante básica,Media,Transporte público,Sabaneta,Tecnico Laboral,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,Salud Total EPS,18,3,1,0,0,0,2022.0,Activo,0
Femenino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos),SISBEN,22,2,1,0,0,0,2017.0,Cancelado,1
Femenino,NOCHE,Urbana,Soltero(a),Desempleado,Media,Transporte público,Medellín,Extension,MIN TRABAJO INICIAL,Nueva Promotora de Salud - Nueva EPS,31,2,2,0,0,0,2015.0,Inactivo,1
Masculino,NOCHE,Urbana,Soltero(a),Empleado,Media,Bicicleta,Envigado,Tecnico Laboral,31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos),EPS Sura,32,2,2,0,0,0,2018.0,Graduado,0
Masculino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,A pie,Envigado,Tecnico Laboral,31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos),EPS Sura,24,2,1,0,0,0,2020.0,Graduado,0
Masculino,MEDIA TÉCNICA,Urbana,Sin registro,Estudiante básica,Sin registro,A pie,Medellín,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,Coomeva EPS,16,3,2,0,0,0,2020.0,Inactivo,0
Masculino,NOCHE,Urbana,Soltero(a),Independiente,Media,A pie,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),EPS Sura,27,3,2,0,0,0,2020.0,Sancionado,1
Femenino,DIURNA,Urbana,Soltero(a),Estudiante básica,Media,Transporte público,Envigado,Tecnico Laboral,27T-TÉCNICO LABORAL EN MERCADEO Y VENTAS (Estudiantes Antiguos),Cafesalud  EPS,21,3,2,0,0,0,2017.0,Graduado,0
Masculino,DIURNA,Urbana,Soltero(a),Desempleado,Básica secundaria,Transporte público,Medellín,Tecnico Laboral,31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos),Sin registro,24,1,2,0,1,0,2015.0,Inactivo,1
Masculino,NOCHE,Urbana - rural,Soltero(a),Empleado,Media,Transporte público,Envigado,Tecnico Laboral,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,Salud Total EPS,20,2,2,0,0,0,2021.0,Sancionado,1
Masculino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,A pie,Envigado,Tecnico Laboral,21T-TÉCNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES Y REDES LOCALES DE DATOS,Coomeva EPS,19,4,1,0,0,0,2021.0,Activo,0
Femenino,NOCHE,Urbana,Casado(a),Empleado,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos),EPS Sura,50,2,1,0,0,0,2016.0,Graduado,0
Masculino,DIURNA,Urbana,Soltero(a),Desempleado,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),Sin registro,31,3,2,0,0,0,2017.0,Sancionado,1
Femenino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,A pie,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),EPS Sura,28,2,1,0,0,0,2016.0,Graduado,0
Masculino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Sin registro,A pie,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,Salud Total EPS,16,4,2,0,0,0,2021.0,Inactivo,0
Masculino,DIURNA,Urbana,Soltero(a),Desempleado,Básica secundaria,Transporte público,Itagui,Tecnico Laboral,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),EPS Sura,29,3,2,0,0,0,2017.0,Graduado,0
Femenino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Extension,EXTENSIÓN - BIOSEGURIDAD,Sin registro,45,3,2,1,1,0,2020.0,Activo,0
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Bicicleta,Envigado,Tecnico Laboral,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),Sin registro,32,3,1,0,0,0,2019.0,Sancionado,1
Masculino,DIURNA,Rural,Soltero(a),Desempleado,Básica secundaria,A pie,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),SISBEN,27,3,1,0,0,0,2016.0,Graduado,0
Femenino,NOCHE,Urbana,Soltero(a),Empleado,Media,Transporte público,Medellín,Extension,MIN TRABAJO INICIAL,Sin registro,30,1,2,0,1,0,2015.0,Inactivo,1
Femenino,NOCHE,Urbana - rural,Soltero(a),Desempleado,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,13T-TÉCNICO LABORAL EN AUXILIAR EN SEGURIDAD OCUPACIONAL,EPS Sura,18,3,2,0,0,0,2021.0,Cancelado,1
Masculino,NOCHE,Urbana,Soltero(a),Sin registro,Básica secundaria,Transporte público,Sabaneta,Tecnico Laboral,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),Sin registro,30,2,2,0,1,0,2016.0,Inactivo,1
Femenino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Sin registro,Extension,EXTENSIÓN - BIOSEGURIDAD,Sin registro,57,3,2,1,1,0,2020.0,Activo,0
Femenino,NOCHE,Urbana,Soltero(a),Independiente,Media,A pie,Envigado,Tecnico Laboral,28T-TÉCNICO LABORAL EN PANADERIA (Estudiantes Antiguos),SISBEN,56,3,2,0,0,0,2016.0,Graduado,0
Femenino,NOCHE,Urbana,Separado(a),Estudiante básica,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos),Coomeva EPS,56,2,1,0,0,0,2017.0,Cancelado,1
Masculino,DIURNA,Urbana,Soltero(a),Estudiante básica,Media,Bicicleta,Envigado,Tecnico Laboral,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),EPS Sura,20,2,1,0,0,0,2021.0,Aplazamiento Semestre,0
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),Sin registro,29,3,2,0,1,0,2016.0,Inactivo,1
Masculino,DIURNA,Urbana,Casado(a),Empleado,Media,Moto,Envigado,Tecnico Laboral,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),Cafesalud  EPS,29,3,1,0,0,0,2016.0,Graduado,0
Masculino,MEDIA TÉCNICA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Media Tecnica,MEDIA TECNICA TECNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Sin registro,18,3,1,1,1,0,2019.0,Cancelado,1
Masculino,DIURNA,Urbana,Soltero(a),Desempleado,Media,Otro,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Coomeva EPS,26,3,1,0,0,0,2015.0,Graduado,0
Masculino,NOCHE,Urbana,Soltero(a),Desempleado,Media,A pie,Envigado,Tecnico Laboral,22T-TÉCNICO LABORAL EN MARKETING DIGITAL,EPS Sura,34,3,2,0,0,0,2021.0,Inactivo,0
Femenino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,A pie,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),Cooperativa de Salud Comunitaria COMPARTA,26,3,1,0,0,0,2016.0,Graduado,0
Femenino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Extension,EXTENSIÓN MANIPULACIÓN DE ALIMENTOS,Sin registro,58,3,2,1,1,0,2020.0,Activo,0
Masculino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Bello,Extension,EXTENSIÓN HERRAMIENTAS TICS MEDIO,Sin registro,40,3,2,1,1,0,2020.0,Activo,0
Masculino,DIURNA,Urbana,Soltero(a),Desempleado,Media,A pie,Envigado,Tecnico Laboral,14T-TÉCNICO LABORAL EN CONTABILIDAD,Nueva Promotora de Salud - Nueva EPS,18,3,1,0,0,0,2022.0,Activo,0
Femenino,MEDIA TÉCNICA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Medellín,Media Tecnica,MEDIA TECNICA TECNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Sin registro,26,2,1,1,1,0,2016.0,Inactivo,1
Femenino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),Salud Total EPS,35,2,2,0,1,0,2016.0,Aplazamiento Semestre,1
Femenino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Sin registro,A pie,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,EPS Sura,15,2,2,0,0,0,2021.0,Inactivo,0
Masculino,NOCHE,Urbana,Unión libre,Empleado,Media,Transporte público,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,EPS Sura,36,2,2,0,0,0,2018.0,Inactivo,1
Femenino,NOCHE,Urbana,Soltero(a),Desempleado,Básica secundaria,A pie,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),Coomeva EPS,21,2,1,0,0,0,2020.0,Sancionado,1
Masculino,NOCHE,Rural,Soltero(a),Empleado,Básica secundaria,Bicicleta,Envigado,Tecnico Laboral,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),EPS Sura,25,2,2,0,0,0,2017.0,Inactivo,1
Femenino,NOCHE,Urbana,Soltero(a),Estudiante básica,Media,A pie,Envigado,Tecnico Laboral,11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos),EPS Sura,26,3,2,0,0,0,2015.0,Graduado,0
Femenino,DIURNA,Urbana,Soltero(a),Independiente,Media,Bicicleta,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,SISBEN,29,3,1,0,0,0,2019.0,Graduado,0
Femenino,DIURNA,Urbana,Soltero(a),Estudiante básica,Media,A pie,Envigado,Tecnico Laboral,04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos),SISBEN,24,3,1,0,0,0,2017.0,Inactivo,1
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Moto,Envigado,Tecnico Laboral,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),EPS Sura,23,5,1,0,0,0,2016.0,Inactivo,1
Femenino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),EPS Sura,48,2,2,0,1,0,2016.0,Cancelado,1
Masculino,DIURNA,Urbana,Soltero(a),Desempleado,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,18T-TÉCNICO LABORAL EN GASTRONOMÍA,EPS Sura,22,3,1,0,0,0,2021.0,Activo,0
Femenino,DIURNA,Urbana,Soltero(a),Estudiante básica,Básica secundaria,Transporte público,Las Palmas,Tecnico Laboral,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,EPS Sura,24,2,1,0,0,0,2016.0,Graduado,0
Femenino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Básica secundaria,Automóvil,Envigado,Media Tecnica,MEDIA TECNICA TECNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,EPS Sura,20,3,1,0,0,0,2018.0,Inactivo,1
Femenino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,14T-TÉCNICO LABORAL EN CONTABILIDAD,SISBEN,21,1,1,0,0,0,2021.0,Sancionado,1
Femenino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Sin registro,A pie,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,EPS Sura,15,3,2,0,0,0,2021.0,Inactivo,0
Masculino,NOCHE,Urbana,Soltero(a),Desempleado,Media,A pie,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Savia Salud,18,3,1,0,0,0,2022.0,Activo,0
Femenino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO,EPS Sura,52,3,1,0,0,0,2016.0,Cancelado,1
Femenino,NOCHE,Urbana,Soltero(a),Desempleado,Media,Transporte público,Envigado,Tecnico Laboral,01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO,Savia Salud,25,2,1,0,0,0,2018.0,Inactivo,1
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Moto,Envigado,Tecnico Laboral,09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,EPS Sura,21,3,1,0,0,0,2022.0,Activo,0
Masculino,NOCHE,Rural,Soltero(a),Empleado,Media,Moto,Medellín,Tecnico Laboral,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),EPS Sura,26,3,2,0,0,0,2019.0,Inactivo,1
Masculino,NOCHE,Urbana,Soltero(a),Estudiante superior,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos),Nueva Promotora de Salud - Nueva EPS,27,3,2,0,0,0,2017.0,Inactivo,1
Femenino,NOCHE,Urbana - rural,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),Sin registro,37,2,2,0,0,0,2016.0,Cancelado,1
Masculino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante superior,Sin registro,Transporte público,Medellín,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,Sanitas EPS,17,3,2,0,0,0,2020.0,Inactivo,0
Masculino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,A pie,Envigado,Tecnico Laboral,31T-TÉCNICO LABORAL EN SISTEMAS (Estudiantes Antiguos),SISBEN,22,2,1,0,0,0,2017.0,Graduado,0
Femenino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Extension,EXTENSION HERRAMIENTAS TICS,Sin registro,51,3,2,1,1,0,2020.0,Activo,0
Masculino,DIURNA,Urbana,Soltero(a),Desempleado,Básica secundaria,Transporte público,Itagui,Tecnico Laboral,19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL,Salud Total EPS,26,2,2,0,0,0,2017.0,Inactivo,1
Masculino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante superior,Media,A pie,Medellín,Media Tecnica,MEDIA TECNICA TECNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,EPS Sura,19,3,1,0,0,0,2018.0,Graduado,0
Masculino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante superior,Media,Otro,Envigado,Media Tecnica,MEDIA TECNICA TECNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Sin registro,24,2,1,0,0,0,2016.0,Graduado,0
Masculino,NOCHE,Urbana,Soltero(a),Empleado,Media,Moto,Envigado,Tecnico Laboral,15T-TÉCNICO LABORAL EN ELECTRICIDAD (Estudiantes Antiguos),EPS Sura,43,3,2,0,0,0,2019.0,Sancionado,1
Femenino,DIURNA,Urbana,Soltero(a),Desempleado,Media,A pie,Envigado,Tecnico Laboral,12T-TÉCNICO LABORAL EN AUXILIAR DE RECURSO HUMANO,EPS Sura,21,2,2,0,0,0,2021.0,Activo,0
Masculino,NOCHE,Urbana,Soltero(a),Empleado,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA,Nueva Promotora de Salud - Nueva EPS,27,2,1,0,0,0,2016.0,Inactivo,1
Femenino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Extension,EXTENSIÓN - BIOSEGURIDAD,Sin registro,25,3,2,1,1,0,2021.0,Activo,0
Masculino,DIURNA,Urbana,Soltero(a),Desempleado,Media,Transporte público,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,EPS Sura,22,3,1,0,0,0,2018.0,Inactivo,1
Masculino,DIURNA,Urbana,Soltero(a),Sin registro,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,EPS Sura,22,4,2,0,1,0,2016.0,Inactivo,1
Masculino,NOCHE,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Sin registro,Extension,CURSO EXTENSION PARRILLA Y MARIDAJE,Sin registro,34,3,2,1,1,0,2017.0,Activo,0
Masculino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Sin registro,A pie,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,EPS Sura,15,4,2,0,0,0,2021.0,Activo,0
Masculino,DIURNA,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Tecnico Laboral,17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO,Sin registro,46,4,2,0,1,0,2021.0,Cancelado,1
Masculino,NOCHE,Urbana,Soltero(a),Empleado,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,16T-TÉCNICO LABORAL EN ELECTRICISTA,SISBEN,27,1,1,0,0,0,2021.0,Activo,0
Masculino,DIURNA,Urbana,Sin registro,Sin registro,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos),Sin registro,24,3,1,0,1,0,2016.0,Inactivo,1
Masculino,NOCHE,Sin registro,Sin registro,Sin registro,Sin registro,Transporte público,Envigado,Tecnico Laboral,08T-TÉCNICO LABORAL EN AUTOMOTRIZ,Sin registro,19,5,2,0,1,0,2021.0,Cancelado,1
Femenino,NOCHE,Urbana,Casado(a),Desempleado,Básica secundaria,A pie,Envigado,Tecnico Laboral,28T-TÉCNICO LABORAL EN PANADERIA (Estudiantes Antiguos),Sin registro,26,3,2,0,0,0,2021.0,Inactivo,0
Masculino,DIURNA,Urbana,Soltero(a),Estudiante básica,Media,Moto,Amagá,Tecnico Laboral,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),Coomeva EPS,23,1,2,0,0,0,2017.0,Inactivo,1
Femenino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante básica,Sin registro,A pie,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,EPS Sura,16,3,2,0,0,0,2020.0,Inactivo,0
Femenino,DIURNA,Sin registro,Soltero(a),Sin registro,Sin registro,Transporte público,Envigado,Media Tecnica,MEDIA TÉCNICA CONTAC CENTER,Sin registro,23,2,1,0,1,0,2014.0,Inactivo,1
Femenino,DIURNA,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),EPS Sura,19,3,1,0,0,0,2020.0,Graduado,0
Masculino,DIURNA,Urbana,Soltero(a),Estudiante superior,Básica secundaria,Transporte público,Envigado,Tecnico Laboral,10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos),EPS Sura,25,2,2,0,0,0,2016.0,Graduado,0
Femenino,NOCHE,Urbana,Casado(a),Estudiante superior,Media,A pie,Envigado,Tecnico Laboral,28T-TÉCNICO LABORAL EN PANADERIA (Estudiantes Antiguos),EPS Sura,53,3,2,0,0,0,2019.0,Cancelado,1
Masculino,NOCHE,Urbana,Soltero(a),Estudiante superior,Media,Transporte público,Envigado,Tecnico Laboral,26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos),EPS Sura,33,2,1,0,1,0,2016.0,Inactivo,1
Femenino,MEDIA TÉCNICA,Urbana,Sin registro,Estudiante básica,Sin registro,Transporte público,Envigado,Media Tecnica,MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL,EPS Sura,16,2,2,0,0,0,2020.0,Inactivo,0
Femenino,MEDIA TÉCNICA,Urbana,Soltero(a),Estudiante superior,Básica secundaria,Transporte público,Itagui,Media Tecnica,MEDIA TÉCNICA MERCADEO Y VENTAS,Salud Total EPS,19,3,1,0,0,0,2018.0,Graduado,0
